rank,country
1,UNITED ARAB EMIRATES
2,SINGAPORE
3,SPAIN
3,MALAYSIA
4,BELGIUM
4,FRANCE
4,GERMANY
4,SWEDEN
4,NETHERLANDS
4,FINLAND
4,LUXEMBOURG
4,ITALY
4,DENMARK
4,PORTUGAL
4,SWITZERLAND
4,GREECE
4,AUSTRIA
4,NORWAY
4,IRELAND
4,SOUTH KOREA
4,JAPAN
5,MALTA
5,POLAND
5,SLOVENIA
5,CROATIA
5,SLOVAKIA
5,HUNGARY
5,ESTONIA
5,LATVIA
6,ROMANIA
6,CZECH REPUBLIC
6,BULGARIA
6,LITHUANIA
6,NEW ZEALAND
7,CYPRUS
7,LIECHTENSTEIN
7,AUSTRALIA
8,ICELAND
9,UNITED KINGDOM
9,CANADA
10,UNITED STATES OF AMERICA
10,MONACO
11,HONG KONG
12,BRAZIL
13,ARGENTINA
14,CHILE
14,SAN MARINO
14,ANDORRA
15,BARBADOS
16,BAHAMAS
17,ISRAEL
17,BRUNEI
18,URUGUAY
18,MEXICO
19,VATICAN CITY
20,SAINT KITTS AND NEVIS
21,SEYCHELLES
21,PERU
22,ST. VINCENT AND THE GRENADINES
23,ANTIGUA AND BARBUDA
24,UKRAINE
25,MACAO
25,COSTA RICA
26,TRINIDAD AND TOBAGO
26,PARAGUAY
27,MAURITIUS
27,GRENADA
27,SAINT LUCIA
28,PANAMA
29,SOLOMON ISLANDS
30,DOMINICA
31,SERBIA
31,COLOMBIA
32,NORTH MACEDONIA
32,GEORGIA
33,SAMOA
33,EL SALVADOR
33,MONTENEGRO
33,GUATEMALA
34,TUVALU
34,HONDURAS
34,KIRIBATI
35,TAIWAN
36,TONGA
36,MARSHALL ISLANDS
37,NICARAGUA
38,RUSSIAN FEDERATION
38,VENEZUELA
39,BOSNIA AND HERZEGOVINA
39,MOLDOVA
40,ALBANIA
41,MICRONESIA
41,PALAU
42,TÜRKIYE
43,QATAR
44,KUWAIT
45,SOUTH AFRICA
46,MALDIVES
47,BELIZE
47,TIMOR-LESTE
48,SAUDI ARABIA
48,BAHRAIN
48,ECUADOR
49,JAMAICA
50,FIJI
51,GUYANA
52,VANUATU
53,OMAN
53,THAILAND
54,CHINA
55,KOSOVO
55,BELARUS
56,KAZAKHSTAN
57,INDONESIA
57,NAURU
58,PAPUA NEW GUINEA
58,SURINAME
58,BOLIVIA
59,AZERBAIJAN
60,BOTSWANA
60,MOROCCO
60,DOMINICAN REPUBLIC
61,LESOTHO
62,ESWATINI
62,ARMENIA
63,NAMIBIA
64,MALAWI
65,KENYA
65,MONGOLIA
65,PHILIPPINES
66,GHANA
66,TANZANIA
66,CAPE VERDE
66,TUNISIA
67,ZAMBIA
68,GAMBIA
68,KYRGYZSTAN
69,UGANDA
69,RWANDA
69,UZBEKISTAN
69,CUBA
69,INDIA
70,SAO TOME AND PRINCIPE
71,ZIMBABWE
72,BENIN
72,MOZAMBIQUE
73,MADAGASCAR
73,GABON
73,VIET NAM
73,TAJIKISTAN
74,SIERRA LEONE
75,SENEGAL
75,EQUATORIAL GUINEA
75,ALGERIA
75,CAMBODIA
76,BURKINA FASO
76,TOGO
77,COTE D'IVOIRE (IVORY COAST)
77,BHUTAN
78,NIGER
78,MAURITANIA
78,JORDAN
79,GUINEA
79,ANGOLA
79,EGYPT
79,COMOROS
80,LAOS
80,TURKMENISTAN
81,MALI
81,HAITI
82,GUINEA-BISSAU
82,CENTRAL AFRICAN REPUBLIC
82,DJIBOUTI
83,LIBERIA
83,CHAD
84,CAMEROON
84,BURUNDI
85,CONGO
85,MYANMAR
86,SRI LANKA
86,LEBANON
87,ETHIOPIA
88,NIGERIA
88,IRAN
88,NEPAL
89,CONGO (DEM. REP.)
89,LIBYA
89,SUDAN
90,SOUTH SUDAN
91,ERITREA
91,NORTH KOREA
92,BANGLADESH
92,PALESTINIAN TERRITORIES
93,YEMEN
94,PAKISTAN
94,SOMALIA
95,IRAQ
96,SYRIA
97,AFGHANISTAN
